ID,Backward_References
1968882288,142878317
1968882288,435632694
1968882288,616961306
1968882288,1546907860
1968882288,1569246963
1968882288,1591598348
1968882288,1774674623
1968882288,1964013824
1968882288,1978361516
1968882288,1981386206
1968882288,1981624353
1968882288,1995491012
1968882288,1996569541
1968882288,1997083609
1968882288,2003810326
1968882288,2018893201
1968882288,2043724646
1968882288,2044985778
1968882288,2047291100
1968882288,2051114686
1968882288,2063170543
1968882288,2067626656
1968882288,2071948141
1968882288,2081160875
1968882288,2082787381
1968882288,2107189290
1968882288,2123680397
1968882288,2127629367
1968882288,2128091892
1968882288,2138693370
1968882288,2467982299
1968882288,2766808865
1968882288,2769211123
1968882288,2804164597
1990597524,1550239256
1990597524,1965508252
1990597524,1968133962
1990597524,1970123059
1990597524,1972909829
1990597524,1980551232
1990597524,1981391418
1990597524,1981690173
1990597524,2007866766
1990597524,2009241617
1990597524,2012184410
1990597524,2013097787
1990597524,2016408435
1990597524,2021347416
1990597524,2033183868
1990597524,2036161103
1990597524,2046816091
1990597524,2049514025
1990597524,2052824527
1990597524,2059758017
1990597524,2068027490
1990597524,2084745504
1990597524,2085433311
1990597524,2091550854
1990597524,2096287662
1990597524,2117404433
1990597524,2145779093
1990597524,2148388983
1990597524,2161228310
1990597524,2731423424
1997328047,126732621
1997328047,202889903
1997328047,233682438
1997328047,635555953
1997328047,1501218279
1997328047,1510822288
1997328047,1897316234
1997328047,1965508252
1997328047,1977721504
1997328047,1994068606
1997328047,1997448042
1997328047,1999632382
1997328047,2006701695
1997328047,2022848219
1997328047,2025906861
1997328047,2026763889
1997328047,2033389971
1997328047,2054765702
1997328047,2061515185
1997328047,2071051632
1997328047,2071955395
1997328047,2072267538
1997328047,2082745447
1997328047,2089760580
1997328047,2134121872
1997328047,2134904653
1997328047,2137573805
1997328047,2144084866
1997328047,2148420716
1997328047,2157175867
1997328047,2170189108
1997328047,2484498322
1997328047,2527692075
1997328047,2733194296
1997328047,2789111982
2005274577,565632338
2005274577,982271312
2005274577,1484864026
2005274577,1591354983
2005274577,1892048922
2005274577,1954247845
2005274577,1965508252
2005274577,1967562362
2005274577,1967581159
2005274577,1968632395
2005274577,1970474598
2005274577,1971079434
2005274577,1972784059
2005274577,1972813133
2005274577,1980451327
2005274577,1981690173
2005274577,1981826046
2005274577,1983712213
2005274577,1992548569
2005274577,1993615607
2005274577,1995567563
2005274577,1996898587
2005274577,1998447874
2005274577,2000364037
2005274577,2004784315
2005274577,2006951680
2005274577,2016434864
2005274577,2018358894
2005274577,2026099188
2005274577,2026352347
2005274577,2026896481
2005274577,2027317335
2005274577,2035443931
2005274577,2042175161
2005274577,2043180728
2005274577,2044481286
2005274577,2046816091
2005274577,2049826494
2005274577,2054007525
2005274577,2065003415
2005274577,2065213471
2005274577,2075314701
2005274577,2075387429
2005274577,2085162844
2005274577,2085433311
2005274577,2091508727
2005274577,2091735072
2005274577,2094471574
2005274577,2114283905
2005274577,2125121920
2005274577,2127710811
2005274577,2130363041
2005274577,2145779093
2005274577,2147130376
2005274577,2148388983
2005274577,2153925152
2005274577,2162129166
2005274577,2205389286
2005274577,2319794630
2005274577,2324729557
2005274577,2480649319
2005274577,2520734910
2005274577,2728182190
2005274577,2911681737
2016465473,1484864026
2016465473,1500307258
2016465473,1534947616
2016465473,1548725395
2016465473,1557011338
2016465473,1563587209
2016465473,1595723645
2016465473,1600487656
2016465473,1970030912
2016465473,1970161808
2016465473,1972133417
2016465473,1977597716
2016465473,1980982574
2016465473,1988915474
2016465473,1988946320
2016465473,1989497768
2016465473,1989527266
2016465473,1990002648
2016465473,1996898587
2016465473,2002152172
2016465473,2008003744
2016465473,2010490421
2016465473,2012168604
2016465473,2012202898
2016465473,2012221472
2016465473,2016336040
2016465473,2018521421
2016465473,2019291708
2016465473,2020454206
2016465473,2021347416
2016465473,2021591304
2016465473,2026758223
2016465473,2026763889
2016465473,2027951586
2016465473,2034546367
2016465473,2035307316
2016465473,2035353554
2016465473,2036161103
2016465473,2037693308
2016465473,2037921353
2016465473,2040035146
2016465473,2053011780
2016465473,2054765702
2016465473,2060451083
2016465473,2064348371
2016465473,2064551051
2016465473,2066989356
2016465473,2071666535
2016465473,2073888475
2016465473,2074765459
2016465473,2079938454
2016465473,2083649615
2016465473,2085821319
2016465473,2086436060
2016465473,2086486969
2016465473,2089871805
2016465473,2092974559
2016465473,2092975254
2016465473,2093677045
2016465473,2096587741
2016465473,2100697074
2016465473,2105442426
2016465473,2110335717
2016465473,2114088086
2016465473,2117302120
2016465473,2117422731
2016465473,2118186669
2016465473,2126155260
2016465473,2134121872
2016465473,2136494473
2016465473,2137786269
2016465473,2142460064
2016465473,2142696419
2016465473,2146128510
2016465473,2146229024
2016465473,2147324063
2016465473,2155226771
2016465473,2161808863
2016465473,2164995141
2016465473,2170893155
2016465473,2172006752
2016465473,2244019898
2016465473,2595942439
2016465473,2764433274
2016465473,2897971917
2026763889,33050051
2026763889,120273180
2026763889,600528129
2026763889,623892231
2026763889,1568572277
2026763889,1569737621
2026763889,1740990445
2026763889,1891826086
2026763889,1947865737
2026763889,1973736522
2026763889,1981391418
2026763889,1996711433
2026763889,2002139462
2026763889,2005534344
2026763889,2032237879
2026763889,2032608535
2026763889,2033389971
2026763889,2036538378
2026763889,2047032198
2026763889,2053377771
2026763889,2053849316
2026763889,2063693992
2026763889,2065003415
2026763889,2074727025
2026763889,2076320060
2026763889,2080148426
2026763889,2081010510
2026763889,2085175893
2026763889,2089397343
2026763889,2093020405
2026763889,2094435341
2026763889,2117207606
2026763889,2143834603
2026763889,2157175867
2026763889,2159401492
2026763889,2317934904
2026763889,2564547547
2026763889,2726107440
2026763889,2789111982
2026763889,2798312563
2026763889,2974977101
2034836290,1527222540
2034836290,1566441341
2034836290,1581154111
2034836290,1965508252
2034836290,1967752530
2034836290,1968226299
2034836290,1976405615
2034836290,1983494063
2034836290,1990289074
2034836290,2005534344
2034836290,2012140045
2034836290,2012168604
2034836290,2012877866
2034836290,2018521421
2034836290,2019291708
2034836290,2020383755
2034836290,2021347416
2034836290,2026763889
2034836290,2026787615
2034836290,2034546367
2034836290,2036161103
2034836290,2036538378
2034836290,2040035146
2034836290,2044698258
2034836290,2049837491
2034836290,2060174009
2034836290,2060451083
2034836290,2064551051
2034836290,2066989356
2034836290,2071110688
2034836290,2074077936
2034836290,2081010510
2034836290,2081524492
2034836290,2085838618
2034836290,2090554186
2034836290,2092974559
2034836290,2095744040
2034836290,2096166171
2034836290,2103110074
